date,species,abundance
2018-03-14,big_eared_fish,5
2018-03-15,big_eared_fish,8
2018-03-16,big_eared_fish,11
2018-03-17,big_eared_fish,7
2018-03-19,big_eared_fish,11
2018-03-20,big_eared_fish,10
2018-03-21,big_eared_fish,11
2018-03-22,big_eared_fish,10
2018-03-23,big_eared_fish,7
2018-03-24,big_eared_fish,9
2018-03-25,big_eared_fish,8
2018-03-26,big_eared_fish,6
2018-03-27,big_eared_fish,7
2018-03-28,big_eared_fish,7
2018-03-29,big_eared_fish,8
2018-03-30,big_eared_fish,10
2018-03-31,big_eared_fish,6
2018-04-01,big_eared_fish,6
2018-04-02,big_eared_fish,8
2018-04-03,big_eared_fish,5
2018-04-04,big_eared_fish,8
2018-04-05,big_eared_fish,5
2018-04-07,big_eared_fish,12
2018-04-08,big_eared_fish,6
2018-04-09,big_eared_fish,8
2018-04-10,big_eared_fish,8
2018-04-11,big_eared_fish,12
2018-04-12,big_eared_fish,6
2018-04-13,big_eared_fish,9
2018-04-14,big_eared_fish,2
2018-04-15,big_eared_fish,7
2018-04-16,big_eared_fish,15
2018-04-17,big_eared_fish,7
2018-04-18,big_eared_fish,10
2018-04-19,big_eared_fish,7
2018-04-21,big_eared_fish,8
2018-04-22,big_eared_fish,5
2018-04-23,big_eared_fish,8
2018-04-24,big_eared_fish,6
2018-04-26,big_eared_fish,12
2018-04-27,big_eared_fish,6
2018-04-28,big_eared_fish,10
2018-04-29,big_eared_fish,4
2018-04-30,big_eared_fish,11
2018-03-14,bigfoot,1
2018-03-15,bigfoot,0
2018-03-16,bigfoot,1
2018-03-17,bigfoot,0
2018-03-19,bigfoot,1
2018-03-20,bigfoot,0
2018-03-21,bigfoot,0
2018-03-22,bigfoot,0
2018-03-23,bigfoot,0
2018-03-24,bigfoot,0
2018-03-25,bigfoot,1
2018-03-26,bigfoot,1
2018-03-27,bigfoot,1
2018-03-28,bigfoot,0
2018-03-29,bigfoot,1
2018-03-30,bigfoot,1
2018-03-31,bigfoot,1
2018-04-01,bigfoot,1
2018-04-02,bigfoot,0
2018-04-03,bigfoot,1
2018-04-04,bigfoot,1
2018-04-05,bigfoot,1
2018-04-07,bigfoot,0
2018-04-08,bigfoot,0
2018-04-09,bigfoot,0
2018-04-10,bigfoot,0
2018-04-11,bigfoot,0
2018-04-12,bigfoot,1
2018-04-13,bigfoot,0
2018-04-14,bigfoot,1
2018-04-15,bigfoot,0
2018-04-16,bigfoot,1
2018-04-17,bigfoot,0
2018-04-18,bigfoot,0
2018-04-19,bigfoot,1
2018-04-21,bigfoot,1
2018-04-22,bigfoot,1
2018-04-23,bigfoot,1
2018-04-24,bigfoot,0
2018-04-26,bigfoot,1
2018-04-27,bigfoot,1
2018-04-28,bigfoot,0
2018-04-29,bigfoot,1
2018-04-30,bigfoot,1
2018-03-14,long_nosed_bird,1
2018-03-15,long_nosed_bird,2
2018-03-16,long_nosed_bird,2
2018-03-17,long_nosed_bird,1
2018-03-19,long_nosed_bird,2
2018-03-20,long_nosed_bird,3
2018-03-21,long_nosed_bird,1
2018-03-22,long_nosed_bird,1
2018-03-23,long_nosed_bird,2
2018-03-24,long_nosed_bird,2
2018-03-25,long_nosed_bird,1
2018-03-26,long_nosed_bird,1
2018-03-27,long_nosed_bird,2
2018-03-28,long_nosed_bird,3
2018-03-29,long_nosed_bird,1
2018-03-30,long_nosed_bird,1
2018-03-31,long_nosed_bird,2
2018-04-01,long_nosed_bird,3
2018-04-02,long_nosed_bird,3
2018-04-03,long_nosed_bird,1
2018-04-04,long_nosed_bird,2
2018-04-05,long_nosed_bird,4
2018-04-07,long_nosed_bird,2
2018-04-08,long_nosed_bird,1
2018-04-09,long_nosed_bird,2
2018-04-10,long_nosed_bird,3
2018-04-11,long_nosed_bird,1
2018-04-12,long_nosed_bird,1
2018-04-13,long_nosed_bird,2
2018-04-14,long_nosed_bird,1
2018-04-15,long_nosed_bird,1
2018-04-16,long_nosed_bird,2
2018-04-17,long_nosed_bird,1
2018-04-18,long_nosed_bird,1
2018-04-19,long_nosed_bird,3
2018-04-21,long_nosed_bird,3
2018-04-22,long_nosed_bird,3
2018-04-23,long_nosed_bird,1
2018-04-24,long_nosed_bird,1
2018-04-26,long_nosed_bird,2
2018-04-27,long_nosed_bird,2
2018-04-28,long_nosed_bird,2
2018-04-29,long_nosed_bird,2
2018-04-30,long_nosed_bird,1
2018-03-14,long_toed_rat,17
2018-03-15,long_toed_rat,10
2018-03-16,long_toed_rat,14
2018-03-17,long_toed_rat,4
2018-03-19,long_toed_rat,11
2018-03-20,long_toed_rat,10
2018-03-21,long_toed_rat,11
2018-03-22,long_toed_rat,7
2018-03-23,long_toed_rat,5
2018-03-24,long_toed_rat,8
2018-03-25,long_toed_rat,9
2018-03-26,long_toed_rat,9
2018-03-27,long_toed_rat,10
2018-03-28,long_toed_rat,11
2018-03-29,long_toed_rat,16
2018-03-30,long_toed_rat,6
2018-03-31,long_toed_rat,8
2018-04-01,long_toed_rat,9
2018-04-02,long_toed_rat,12
2018-04-03,long_toed_rat,15
2018-04-04,long_toed_rat,13
2018-04-05,long_toed_rat,11
2018-04-07,long_toed_rat,10
2018-04-08,long_toed_rat,11
2018-04-09,long_toed_rat,4
2018-04-10,long_toed_rat,7
2018-04-11,long_toed_rat,9
2018-04-12,long_toed_rat,4
2018-04-13,long_toed_rat,8
2018-04-14,long_toed_rat,10
2018-04-15,long_toed_rat,7
2018-04-16,long_toed_rat,16
2018-04-17,long_toed_rat,11
2018-04-18,long_toed_rat,10
2018-04-19,long_toed_rat,11
2018-04-21,long_toed_rat,16
2018-04-22,long_toed_rat,8
2018-04-23,long_toed_rat,7
2018-04-24,long_toed_rat,9
2018-04-26,long_toed_rat,15
2018-04-27,long_toed_rat,4
2018-04-28,long_toed_rat,8
2018-04-29,long_toed_rat,10
2018-04-30,long_toed_rat,12
2018-03-14,thick_furred_rabbit,34
2018-03-15,thick_furred_rabbit,34
2018-03-16,thick_furred_rabbit,29
2018-03-17,thick_furred_rabbit,37
2018-03-19,thick_furred_rabbit,27
2018-03-20,thick_furred_rabbit,34
2018-03-21,thick_furred_rabbit,30
2018-03-22,thick_furred_rabbit,28
2018-03-23,thick_furred_rabbit,30
2018-03-24,thick_furred_rabbit,31
2018-03-25,thick_furred_rabbit,31
2018-03-26,thick_furred_rabbit,34
2018-03-27,thick_furred_rabbit,24
2018-03-28,thick_furred_rabbit,30
2018-03-29,thick_furred_rabbit,33
2018-03-30,thick_furred_rabbit,29
2018-03-31,thick_furred_rabbit,27
2018-04-01,thick_furred_rabbit,28
2018-04-02,thick_furred_rabbit,34
2018-04-03,thick_furred_rabbit,32
2018-04-04,thick_furred_rabbit,21
2018-04-05,thick_furred_rabbit,33
2018-04-07,thick_furred_rabbit,32
2018-04-08,thick_furred_rabbit,34
2018-04-09,thick_furred_rabbit,39
2018-04-10,thick_furred_rabbit,33
2018-04-11,thick_furred_rabbit,28
2018-04-12,thick_furred_rabbit,24
2018-04-13,thick_furred_rabbit,36
2018-04-14,thick_furred_rabbit,26
2018-04-15,thick_furred_rabbit,30
2018-04-16,thick_furred_rabbit,34
2018-04-17,thick_furred_rabbit,32
2018-04-18,thick_furred_rabbit,39
2018-04-19,thick_furred_rabbit,33
2018-04-21,thick_furred_rabbit,25
2018-04-22,thick_furred_rabbit,31
2018-04-23,thick_furred_rabbit,31
2018-04-24,thick_furred_rabbit,35
2018-04-26,thick_furred_rabbit,23
2018-04-27,thick_furred_rabbit,33
2018-04-28,thick_furred_rabbit,31
2018-04-29,thick_furred_rabbit,27
2018-04-30,thick_furred_rabbit,35
